Module,PROBE_ID
M3.1,ILMN_1671693
M3.1,ILMN_1745962
M3.1,ILMN_1741483
M3.1,ILMN_2049417
M3.1,ILMN_1798205
M3.1,ILMN_1784678
M3.1,ILMN_1670000
M3.1,ILMN_1715969
M3.1,ILMN_1743911
M3.1,ILMN_2047112
M3.1,ILMN_1667306
M3.1,ILMN_1679267
M3.1,ILMN_1728349
M3.1,ILMN_1682332
M3.1,ILMN_2291010
M3.1,ILMN_1694027
M3.1,ILMN_1688322
M3.1,ILMN_1742947
M3.1,ILMN_1758398
M3.1,ILMN_1654118
M3.1,ILMN_2267787
M3.1,ILMN_1696183
M3.1,ILMN_1717935
M3.1,ILMN_1726306
M3.1,ILMN_1701386
M3.1,ILMN_1786328
M3.1,ILMN_1804618
M3.1,ILMN_1795419
M3.1,ILMN_1745533
M3.1,ILMN_1810785
M3.1,ILMN_1663605
M3.1,ILMN_1796490
M3.1,ILMN_1710303
M3.1,ILMN_1790534
M3.1,ILMN_1738468
M3.1,ILMN_1746579
M3.1,ILMN_1671583
M3.1,ILMN_1803788
M3.1,ILMN_1708580
M3.1,ILMN_1666306
M3.1,ILMN_1679919
M3.1,ILMN_1733863
M3.1,ILMN_1814952
M3.1,ILMN_1799028
M3.1,ILMN_1756715
M3.1,ILMN_1764410
M3.1,ILMN_1670570
M3.1,ILMN_1796678
M3.1,ILMN_1658624
M3.1,ILMN_1713006
M3.1,ILMN_1750181
M3.1,ILMN_1793915
M3.1,ILMN_1815238
M3.1,ILMN_1706434
M3.1,ILMN_1728742
M3.1,ILMN_1808202
M3.1,ILMN_1671686
M3.1,ILMN_1801175
M3.1,ILMN_1753002
M3.1,ILMN_1767766
M3.1,ILMN_1715963
M3.1,ILMN_2194577
M3.1,ILMN_1772780
M3.1,ILMN_1750130
M3.1,ILMN_1764383
M3.1,ILMN_1680777
M3.1,ILMN_1687857
M3.1,ILMN_1684255
M3.1,ILMN_1770387
M3.1,ILMN_2084825
M3.1,ILMN_1807201
M3.1,ILMN_1760315
M3.1,ILMN_1806710
M3.1,ILMN_1774375
M3.1,ILMN_1690616
M3.1,ILMN_1773849
M3.1,ILMN_1680134
M3.1,ILMN_1774380
M3.1,ILMN_1732049
M3.1,ILMN_1777233
M3.2,ILMN_1800540
M3.2,ILMN_1665877
M3.2,ILMN_1805175
M3.2,ILMN_1737314
M3.2,ILMN_1789086
M3.2,ILMN_1656849
M3.2,ILMN_1731714
M3.2,ILMN_1749776
M3.2,ILMN_1678170
M3.2,ILMN_2336781
M3.2,ILMN_1772036
M3.2,ILMN_1773390
M3.2,ILMN_1679826
M3.2,ILMN_1750429
M3.2,ILMN_2117623
M3.2,ILMN_1657892
M3.2,ILMN_1717207
M3.2,ILMN_1654268
M3.2,ILMN_1794165
M3.2,ILMN_1736190
M3.2,ILMN_1763433
M3.2,ILMN_1704753
M3.2,ILMN_2204545
M3.2,ILMN_1750974
M3.2,ILMN_1706357
M3.2,ILMN_1800602
M3.2,ILMN_1724236
M3.2,ILMN_1696466
M3.2,ILMN_1803464
M3.2,ILMN_1657455
M3.2,ILMN_1758146
M3.2,ILMN_1778111
M3.2,ILMN_1779015
M3.2,ILMN_1753468
M3.2,ILMN_1735737
M3.2,ILMN_1667748
M3.2,ILMN_1887305
M3.2,ILMN_1766425
M3.2,ILMN_1752798
M3.2,ILMN_1660847
M3.2,ILMN_1667371
M3.2,ILMN_1681520
M3.2,ILMN_1651628
M3.2,ILMN_1731907
M3.2,ILMN_1775257
M3.2,ILMN_1835017
M3.2,ILMN_1741917
M3.2,ILMN_1779979
M3.2,ILMN_1730454
M3.2,ILMN_1701837
M3.2,ILMN_1809173
M3.2,ILMN_1720158
M3.2,ILMN_1686884
M3.2,ILMN_2256050
M3.2,ILMN_1757074
M3.2,ILMN_1651826
M3.2,ILMN_1690125
M3.2,ILMN_1753111
M3.2,ILMN_1765941
M3.2,ILMN_1803811
M3.2,ILMN_1685057
M3.2,ILMN_1785005
M3.2,ILMN_1661631
M3.2,ILMN_1810725
M3.2,ILMN_1741165
M3.2,ILMN_1791771
M3.2,ILMN_1698519
M3.2,ILMN_1670410
M3.2,ILMN_1747251
M3.2,ILMN_1740875
M3.2,ILMN_1694596
M3.2,ILMN_1719661
M3.2,ILMN_1808047
M3.2,ILMN_1693014
M3.2,ILMN_1659544
M3.2,ILMN_1675756
M3.2,ILMN_1663422
M3.2,ILMN_1689046
M3.2,ILMN_1661439
M3.2,ILMN_1798804
M3.2,ILMN_1790781
M3.2,ILMN_2371280
M3.2,ILMN_1674394
M3.2,ILMN_1653871
M3.2,ILMN_1728724
M3.2,ILMN_1709233
M3.2,ILMN_1795467
M3.2,ILMN_1660227
M3.2,ILMN_1774874
M3.2,ILMN_1782050
M3.2,ILMN_1749287
M3.2,ILMN_1706217
M3.2,ILMN_1750101
M3.2,ILMN_1740298
M3.2,ILMN_1724822
M3.2,ILMN_1652003
M3.2,ILMN_1696187
M3.2,ILMN_1765880
M3.2,ILMN_1702787
M3.2,ILMN_1781285
M3.2,ILMN_1741727
M3.2,ILMN_1684585
M3.2,ILMN_1728392
M3.2,ILMN_1775708
M3.2,ILMN_1770161
M3.2,ILMN_1766157
M3.2,ILMN_1749078
M3.2,ILMN_1707286
M3.2,ILMN_1723662
M3.2,ILMN_1807529
M3.2,ILMN_1683598
M3.2,ILMN_1678939
M3.2,ILMN_1695435
M3.2,ILMN_1726222
M3.2,ILMN_1767809
M3.2,ILMN_1771003
M3.2,ILMN_1778128
M3.2,ILMN_1790689
M3.2,ILMN_1714592
M3.2,ILMN_1726523
M3.2,ILMN_1707312
M3.2,ILMN_1815054
M3.2,ILMN_1662846
M3.2,ILMN_1698164
M3.2,ILMN_1781198
M3.2,ILMN_1724668
M3.2,ILMN_1705047
M3.2,ILMN_1806293
M3.2,ILMN_1685009
M3.2,ILMN_1678494
M3.2,ILMN_1790891
M3.2,ILMN_1715068
M3.2,ILMN_1733443
M3.2,ILMN_1680996
M3.2,ILMN_1794190
M3.2,ILMN_1743933
M3.2,ILMN_1685824
M3.2,ILMN_1717809
M3.2,ILMN_1724533
M3.2,ILMN_1652490
M3.2,ILMN_1656327
M3.2,ILMN_1798977
M3.2,ILMN_1665540
M3.2,ILMN_1776483
M3.2,ILMN_1658798
M3.2,ILMN_1660691
M3.2,ILMN_1810420
M3.3,ILMN_1786065
M3.3,ILMN_1728934
M3.3,ILMN_1753196
M3.3,ILMN_1756326
M3.3,ILMN_1796589
M3.3,ILMN_1683450
M3.3,ILMN_1678669
M3.3,ILMN_1681754
M3.3,ILMN_1781942
M3.3,ILMN_1668814
M3.3,ILMN_2219466
M3.3,ILMN_1671337
M3.3,ILMN_1727055
M3.3,ILMN_2202948
M3.3,ILMN_1663390
M3.3,ILMN_1801939
M3.3,ILMN_1796949
M3.3,ILMN_1714730
M3.3,ILMN_1788166
M3.3,ILMN_1815184
M3.3,ILMN_1684217
M3.3,ILMN_1680955
M3.3,ILMN_1720526
M3.3,ILMN_1806037
M3.3,ILMN_2368718
M3.3,ILMN_1794539
M3.3,ILMN_1726720
M3.3,ILMN_1789123
M3.3,ILMN_1739645
M3.3,ILMN_1651237
M3.3,ILMN_1747911
M3.3,ILMN_1751444
M3.3,ILMN_1806040
M3.3,ILMN_1750678
M3.3,ILMN_1731184
M3.3,ILMN_1664630
M3.3,ILMN_1655930
M3.3,ILMN_1737205
M3.3,ILMN_1779711
M3.3,ILMN_2285996
M3.3,ILMN_1686097
M3.3,ILMN_1809590
M3.3,ILMN_1801257
M3.3,ILMN_1749829
M3.3,ILMN_1747016
M3.3,ILMN_1786125
M3.3,ILMN_1727459
M3.3,ILMN_1666305
M3.3,ILMN_2141259
M3.4,ILMN_1703108
M3.4,ILMN_1709333
M3.4,ILMN_2248970
M3.4,ILMN_1696654
M3.4,ILMN_1727271
M3.4,ILMN_1739428
M3.4,ILMN_1710844
M3.4,ILMN_1731299
M3.4,ILMN_1691731
M3.4,ILMN_1691156
M3.4,ILMN_1706502
M3.4,ILMN_1701455
M3.4,ILMN_1797359
M3.4,ILMN_1745242
M3.4,ILMN_1664330
M3.4,ILMN_1707979
M3.4,ILMN_1671482
M3.4,ILMN_1716815
M3.4,ILMN_1745374
M3.4,ILMN_1728019
M3.4,ILMN_1801307
M3.4,ILMN_1774733
M3.4,ILMN_1659688
M3.4,ILMN_1787509
M3.4,ILMN_1785732
M3.4,ILMN_1701114
M3.4,ILMN_1771385
M3.4,ILMN_1725700
M3.4,ILMN_1718558
M3.4,ILMN_1691364
M3.4,ILMN_1797001
M3.4,ILMN_1765994
M3.4,ILMN_1859584
M3.4,ILMN_1765332
M3.4,ILMN_1781373
M3.4,ILMN_1910908
M3.4,ILMN_1701621
M3.4,ILMN_1777325
M3.4,ILMN_1769520
M3.4,ILMN_2114568
M3.4,ILMN_1860051
M3.4,ILMN_1683792
M3.4,ILMN_1731224
M3.4,ILMN_1779252
M3.4,ILMN_1725314
M3.4,ILMN_1799467
M3.4,ILMN_1751393
M3.4,ILMN_1721411
M3.4,ILMN_1782487
M3.4,ILMN_1756953
M3.4,ILMN_1798181
M3.4,ILMN_1690921
M3.4,ILMN_1681301
M3.4,ILMN_1801246
M3.4,ILMN_1776157
M3.4,ILMN_1687201
M3.4,ILMN_1678422
M3.4,ILMN_1686664
M3.4,ILMN_1690105
M3.4,ILMN_1656310
M3.4,ILMN_1654639
M3.4,ILMN_1772964
M3.5,ILMN_1715179
M3.5,ILMN_1779530
M3.5,ILMN_1678165
M3.5,ILMN_2252408
M3.5,ILMN_1670218
M3.5,ILMN_2210482
M3.5,ILMN_1761113
M3.5,ILMN_2175894
M3.5,ILMN_1662065
M3.5,ILMN_1804851
M3.5,ILMN_1699737
M3.5,ILMN_1689445
M3.5,ILMN_1742577
M3.5,ILMN_1716093
M3.5,ILMN_1704055
M3.5,ILMN_1791896
M3.5,ILMN_2227968
M3.5,ILMN_1772959
M3.5,ILMN_1770692
M3.5,ILMN_1761131
M3.5,ILMN_1810423
M3.5,ILMN_1707484
M3.5,ILMN_2076658
M3.5,ILMN_1782635
M3.5,ILMN_1784871
M3.5,ILMN_1749297
M3.5,ILMN_1742166
M3.5,ILMN_1796235
M3.5,ILMN_1719656
M3.5,ILMN_1680239
M3.5,ILMN_1771966
M3.5,ILMN_1763129
M3.5,ILMN_1758827
M3.5,ILMN_1785179
M3.5,ILMN_1679800
M3.5,ILMN_1801348
M3.5,ILMN_1711023
M3.5,ILMN_1705093
M3.5,ILMN_1721713
M3.5,ILMN_1718672
M3.5,ILMN_1723021
M3.5,ILMN_1696601
M3.5,ILMN_2067708
M3.5,ILMN_1766125
M3.5,ILMN_1662905
M3.5,ILMN_1698533
M3.5,ILMN_1657837
M3.5,ILMN_1678966
M3.5,ILMN_1773716
M3.5,ILMN_1726064
M3.5,ILMN_1749432
M3.5,ILMN_1721457
M3.5,ILMN_1726391
M3.5,ILMN_1777066
M3.5,ILMN_1761479
M3.5,ILMN_1806818
M3.5,ILMN_1708672
M3.5,ILMN_1715661
M3.5,ILMN_2120340
M3.5,ILMN_1676548
M3.5,ILMN_1779353
M3.5,ILMN_1719392
M3.5,ILMN_1712390
M3.5,ILMN_1661264
M3.5,ILMN_1764861
M3.5,ILMN_1671494
M3.5,ILMN_1670640
M3.5,ILMN_1773760
M3.5,ILMN_1719906
M3.5,ILMN_1782504
M3.5,ILMN_1685661
M3.5,ILMN_1697614
M3.5,ILMN_1715896
M3.5,ILMN_1801913
M3.5,ILMN_1679382
M3.5,ILMN_1665797
M3.5,ILMN_1656628
M3.5,ILMN_1743049
M3.5,ILMN_1795911
M3.5,ILMN_1732537
M3.5,ILMN_1804610
M3.5,ILMN_1813091
M3.5,ILMN_1764323
M3.5,ILMN_1801553
M3.5,ILMN_1806106
M3.5,ILMN_1772722
M3.5,ILMN_1785926
M3.5,ILMN_2182198
M3.5,ILMN_1695576
M3.5,ILMN_1726743
M3.5,ILMN_1685567
M3.5,ILMN_1758474
M3.5,ILMN_1679209
M3.5,ILMN_1748916
M3.5,ILMN_1767892
M3.5,ILMN_1690101
M3.5,ILMN_1757026
M3.5,ILMN_1685413
M3.5,ILMN_1753745
M3.5,ILMN_1805658
M3.5,ILMN_1794046
M3.5,ILMN_1768127
M3.5,ILMN_1740170
M3.5,ILMN_1689001
M3.5,ILMN_1808661
M3.5,ILMN_1672389
M3.5,ILMN_1756162
M3.5,ILMN_1814573
M3.5,ILMN_1726783
M3.5,ILMN_1686871
M3.5,ILMN_2233099
M3.5,ILMN_1736441
M3.5,ILMN_1697348
M3.5,ILMN_1898124
M3.5,ILMN_1721921
M3.5,ILMN_1711878
M3.5,ILMN_1788254
M3.5,ILMN_1688127
M3.5,ILMN_1701731
M3.5,ILMN_1692473
M3.5,ILMN_1725105
M3.5,ILMN_1659339
M3.5,ILMN_2097954
M3.5,ILMN_1764871
M3.5,ILMN_1686194
M3.5,ILMN_1673991
M3.5,ILMN_1676611
M3.5,ILMN_1701244
M3.5,ILMN_1656145
M3.5,ILMN_1756311
M3.5,ILMN_1792672
M3.5,ILMN_1664167
M3.5,ILMN_1775522
M3.5,ILMN_1665483
M3.5,ILMN_1652333
M3.5,ILMN_1722838
M3.5,ILMN_2401826
M3.5,ILMN_1653529
M3.5,ILMN_1678140
M3.5,ILMN_1664833
M3.5,ILMN_1745772
M3.5,ILMN_1790354
M3.5,ILMN_1658678
M3.5,ILMN_1757627
M3.5,ILMN_1713143
M3.5,ILMN_1676393
M3.5,ILMN_1708151
M3.5,ILMN_1714515
M3.5,ILMN_1706238
M3.6,ILMN_1666902
M3.6,ILMN_1708779
M3.6,ILMN_1760374
M3.6,ILMN_1797988
M3.6,ILMN_2207291
M3.6,ILMN_1684349
M3.6,ILMN_1797776
M3.6,ILMN_2256295
M3.6,ILMN_2316236
M3.6,ILMN_1659158
M3.6,ILMN_1784287
M3.6,ILMN_1812070
M3.6,ILMN_1678238
M3.6,ILMN_1794364
M3.6,ILMN_1708041
M3.6,ILMN_1691425
M3.6,ILMN_1790692
M3.6,ILMN_1788538
M3.6,ILMN_1682993
M3.6,ILMN_1690561
M3.6,ILMN_2190842
M3.6,ILMN_1680772
M3.6,ILMN_1772821
M3.6,ILMN_1733874
M3.6,ILMN_1742026
M3.6,ILMN_1669447
M3.6,ILMN_1660732
M3.6,ILMN_1761945
M3.6,ILMN_1755415
M3.6,ILMN_1781824
M3.6,ILMN_1740633
M3.6,ILMN_1731233
M3.6,ILMN_1660462
M3.6,ILMN_1723944
M3.6,ILMN_2384122
M3.6,ILMN_1682929
M3.6,ILMN_1749081
M3.6,ILMN_2044471
M3.6,ILMN_1671142
M3.6,ILMN_1697491
M3.6,ILMN_2386790
M3.6,ILMN_1779324
M3.6,ILMN_2222443
M3.6,ILMN_1796423
M3.6,ILMN_1768482
M3.6,ILMN_1760509
M3.6,ILMN_1728298
M3.6,ILMN_1685521
M3.6,ILMN_1799134
M3.6,ILMN_1658399
M3.6,ILMN_1657509
M3.6,ILMN_2074762
M3.6,ILMN_1742001
M4.1,ILMN_1739794
M4.1,ILMN_1679185
M4.1,ILMN_1656287
M4.1,ILMN_1805395
M4.1,ILMN_1745112
M4.1,ILMN_1915188
M4.1,ILMN_1765109
M4.1,ILMN_1670695
M4.1,ILMN_1886655
M4.1,ILMN_1676470
M4.1,ILMN_1785424
M4.1,ILMN_1822333
M4.1,ILMN_1811330
M4.1,ILMN_1712231
